date, pm10, no2, so2, co
15-10-2022,35,10,9,10
24-10-2022,62,9,10,16
25-10-2022,68,11,14,17
26-10-2022,86,12,10,21
27-10-2022,71,10,7,12
28-10-2022,48,9,7,11
29-10-2022,48,10,8,12
30-10-2022,58,10,8,13
31-10-2022,68,10,8,13
01-11-2022,59,10,8,13
02-11-2022,46,10,8,12
03-11-2022,53,10,8,13
04-11-2022,54,10,8,13
05-11-2022,52, , , 
08-11-2022,68,10,8,12
09-11-2022,68,10,8,17
10-11-2022,68,10,8,5
11-11-2022,75, , , 
14-11-2022,98, , , 
16-11-2022,92,10,11,6
17-11-2022,78,10,11,4
18-11-2022,74,10,11,4
19-11-2022,68,10,11,7
20-11-2022,67,10,11,4
21-11-2022,65,10,11,4
22-11-2022,57,10,11,4
23-11-2022,46,10,11,5
24-11-2022,49,10,11,3
25-11-2022,55, , , 
30-11-2022,69,10,11,3
01-12-2022,61,10,11,6
02-12-2022,58,11,10,8
03-12-2022,53,12,9,10
04-12-2022,43,13,9,13
05-12-2022,70,12,9,16
06-12-2022,70,12,9,10
07-12-2022,70,12,9,10
08-12-2022,62,13,9,12
09-12-2022,64,12,9,12
10-12-2022,59, , , 
12-12-2022,62,14,12,18
13-12-2022,62,13,9,14
14-12-2022,63,11,7,20
15-12-2022,68,12,7,15
16-12-2022,75, , , 
18-12-2022,84,12,7,19
19-12-2022,90,12,7,19
20-12-2022,76,12,7,19
21-12-2022,83,12,7,19
22-12-2022,86,11,7,19
23-12-2022,76,11,7,19
24-12-2022,63, , , 
27-12-2022,39,12,7,19
28-12-2022,37,11,8,22
29-12-2022,52,11,8,22
30-12-2022,52,11,6,22
31-12-2022,45,11,6,22
01-07-2022,60,10,8,25
02-07-2022,64,10,8,15
03-07-2022,62,11,8,26
04-07-2022,64,9,8,19
05-07-2022,62,10,8,21
06-07-2022,69,9,8,20
07-07-2022,68,10,8,16
08-07-2022,69,11,8,16
09-07-2022,69,10,8,12
10-07-2022,69,11,8,15
11-07-2022,73,11,9,16
12-07-2022,77,10,9,18
13-07-2022,74,11,9,17
14-07-2022,74,12,8,16
15-07-2022,80,11,8,18
16-07-2022,73,10,8,16
17-07-2022,70,10,8,18
18-07-2022,62,10,8,15
19-07-2022,55,10,8,16
20-07-2022,54,10,8,18
21-07-2022,48,10,8,16
22-07-2022,54,10,8,17
23-07-2022,52,10,8,17
24-07-2022,52,10,8,19
25-07-2022,58,9,8,16
26-07-2022,48,11,8,18
27-07-2022,47,12,8,16
28-07-2022,51,14,8,20
29-07-2022,58,11,8,14
30-07-2022,49,10,8,13
31-07-2022,38,13,8,7
01-08-2022,36,11,8,17
02-08-2022,36,11,8,18
03-08-2022,36,11,8,21
04-08-2022,37,12,8,22
05-08-2022,39,11,8,25
06-08-2022,39,11,8,16
07-08-2022,39,12,8,16
08-08-2022,39,12,8,24
09-08-2022,39,11,8,21
10-08-2022,39,11,8,19
11-08-2022,38,10,8,21
12-08-2022,32,10,8,19
13-08-2022,31,11,8,22
14-08-2022,37,10,8,22
15-08-2022,37,10,8,24
16-08-2022,43,9,8,26
17-08-2022,48,9,8,18
18-08-2022,51,8,8,71
19-08-2022,55,11,8,34
20-08-2022,60,10,8,14
21-08-2022,52,10,8,17
22-08-2022,55, , , 
02-09-2022,55, , , 
05-09-2022,50,12,4,17
06-09-2022,49,12,4,18
07-09-2022,49,11,4,18
08-09-2022,49,11,4,17
09-09-2022,57,11,4,15
10-09-2022,60, , , 
12-09-2022,80,11,4,12
13-09-2022,65,11,4,12
14-09-2022,55,11,4,12
15-09-2022,61, , , 
19-09-2022,57,10,4,10
20-09-2022,53,9,5,10
21-09-2022,172, , , 
27-09-2022,45,10,9,12
28-09-2022,54,10,9,13
29-09-2022,53,10,9,12
30-09-2022,136,10,9,8
01-04-2022,65,7,11,16
02-04-2022,65,7,11,16
03-04-2022,64,7,11,16
04-04-2022,66,7,11,16
05-04-2022,56,7,11,16
06-04-2022,71,7,11,16
07-04-2022,65,7,11,16
08-04-2022,62,7,11,16
09-04-2022,57,7,11,16
10-04-2022,47,7,11,16
11-04-2022,78,7,11,15
12-04-2022,93,7,11,16
13-04-2022,52,7,11,16
14-04-2022,38, , , 
16-04-2022,56,7,11,16
17-04-2022,49,7,11,16
18-04-2022,44,7,12,16
19-04-2022,67,7,11,16
20-04-2022,64,7,11,16
21-04-2022,75,7,11,16
22-04-2022,73,7,11,16
23-04-2022,63,7,11,16
24-04-2022,59,7,11,16
25-04-2022,63,7,11,16
26-04-2022,60,7,11,16
27-04-2022,70,7,11,16
28-04-2022,67,7,11,16
29-04-2022,68,7,11,16
30-04-2022,56, , , 
02-05-2022,56,7,11,15
03-05-2022,53,7,11,16
04-05-2022,45,7,11,16
05-05-2022,53,7,11,16
06-05-2022,56,8,10,18
07-05-2022,58,9,8,22
08-05-2022,61,9,8,22
09-05-2022,63,9,8,17
10-05-2022,52,9,8,13
11-05-2022,56,9,8,13
12-05-2022,48,9,8,13
13-05-2022,51,9,8,13
14-05-2022,64,9,8,13
15-05-2022,57,9,8,13
16-05-2022,57,9,8,13
17-05-2022,37,9,8,13
18-05-2022,34,9,8,13
19-05-2022,40,9,8,13
20-05-2022,56,9,8,13
21-05-2022,67,9,8,13
22-05-2022,74,9,8,13
23-05-2022,58,9,8,13
24-05-2022,59,9,8,13
25-05-2022,59,9,8,13
26-05-2022,73,9,8,13
27-05-2022,58, , , 
30-05-2022,67,9,8,13
31-05-2022,45,9,8,13
01-06-2022,52,10,9,16
02-06-2022,57,10,12,22
03-06-2022,59,7,10,19
04-06-2022,46,8,10,22
05-06-2022,58,8,10,23
06-06-2022,40,7,11,21
07-06-2022,49,6,14,9
08-06-2022,49,7,13,12
09-06-2022,50,10,12,20
10-06-2022,52,13,14,17
11-06-2022,43, , , 
13-06-2022,31,8,9,18
14-06-2022,45,6,7,14
15-06-2022,45,5,8,11
16-06-2022,62,4,7,13
17-06-2022,18,3,6,12
18-06-2022,19,4,7,12
19-06-2022,16,4,8,13
20-06-2022,47,3,7,14
21-06-2022,48,2,7,12
22-06-2022,53,5,8,12
23-06-2022,51,10,9,11
24-06-2022,58,9,9,14
25-06-2022,61,10,9,14
26-06-2022,64,10,8,17
27-06-2022,64,9,9,17
28-06-2022,62,9,8,21
29-06-2022,58,9,9,21
30-06-2022,59,8,8,19
03-01-2022,60,10,7,11
04-01-2022,61,10,5,11
05-01-2022,69,10,5,11
06-01-2022,64,10,6,12
07-01-2022,67,10,6,14
08-01-2022,56,10,7,14
09-01-2022,53,10,7,14
10-01-2022,63,10,5,12
11-01-2022,60,11,5,12
12-01-2022,60,11,6,12
13-01-2022,60,11,6,16
14-01-2022,63,11,6,21
15-01-2022,52,10,8,21
16-01-2022,43,11,9,18
17-01-2022,50,11,6,17
18-01-2022,53,11,7,17
19-01-2022,56,11,6,17
20-01-2022,62,11,6,17
21-01-2022,69,11,6,17
22-01-2022,68,11,7,17
23-01-2022,55,11,7,17
24-01-2022,64,11,7,14
25-01-2022,72,11,6,12
26-01-2022,68,11,6,15
27-01-2022,62,11,5,19
28-01-2022,63,11,6,19
29-01-2022,68,11,6,17
30-01-2022,64,10,6,17
31-01-2022,67,11,7,18
01-02-2022,70,10,5,16
02-02-2022,70,11,6,16
03-02-2022,70,11,7,21
04-02-2022,60,11,5,22
05-02-2022,70,11,5,16
06-02-2022,63,11,5,20
07-02-2022,62,11,5,21
08-02-2022,66,11,5,20
09-02-2022,63,11,6,22
10-02-2022,59,11,6,25
11-02-2022,58,11,6,24
12-02-2022,54,11,7,24
13-02-2022,53,11,6,21
14-02-2022,60,11,7,20
15-02-2022,63,11,5,19
16-02-2022,64,11,6,19
17-02-2022,65,11,6,20
18-02-2022,60,11,6,20
19-02-2022,59,11,5,20
20-02-2022,58,10,7,20
21-02-2022,65,11,6,20
22-02-2022,74,11,6,20
23-02-2022,58,11,9,20
24-02-2022,48,11,9,19
25-02-2022,57,11,9,19
26-02-2022,60,11,9,19
27-02-2022,50,11,9,19
28-02-2022,54,11,9,20
01-03-2022,51,11,9,20
02-03-2022,54,11,9,19
03-03-2022,59,11,9,19
04-03-2022,56,11,9,19
05-03-2022,55, , , 
07-03-2022,53,11,9,19
08-03-2022,59,11,9,20
09-03-2022,73,11,9,23
10-03-2022,67,11,9,22
11-03-2022,61,11,9,22
12-03-2022,63,11,9,22
13-03-2022,63,11,9,22
14-03-2022,68,11,9,23
15-03-2022,51,11,9,23
16-03-2022,89,11,9,22
17-03-2022,75,11,9,22
18-03-2022,100,10,9,22
19-03-2022,59,11,9,22
21-03-2022,46,8,10,18
22-03-2022,59,7,11,16
23-03-2022,65,7,11,16
24-03-2022,72,7,11,16
25-03-2022,74,7,11,16
26-03-2022,63, , , 
28-03-2022,70,7,11,16
29-03-2022,53,7,11,16
30-03-2022,41,7,11,16
31-03-2022,76,7,11,16
01-10-2021,50,8,4,24
02-10-2021,56,8,4,24
03-10-2021,50,8,4,30
04-10-2021,50,8,3,15
05-10-2021,55,8,4,27
06-10-2021,36,8,4,22
07-10-2021,49,8,3,31
08-10-2021,31,8,4,17
09-10-2021,19,8,3,17
10-10-2021,19,8,4,20
11-10-2021,19,8,4,20
12-10-2021,19,8,3,18
13-10-2021,19,8,4,18
14-10-2021,20,8,3,24
15-10-2021,20,8,3,25
16-10-2021,20,8,3,24
17-10-2021,20,8,3,24
18-10-2021,20,7,2,23
19-10-2021,19,8,5,21
20-10-2021,63,8,4,27
21-10-2021,59,8,4,37
22-10-2021,77, , , 
25-10-2021,86,8,5,18
26-10-2021,77,8,4,28
27-10-2021,80,8,5,11
28-10-2021,76, , , 
30-10-2021,63,8,5,47
31-10-2021,55,8,4,17
01-11-2021,49,8,4,11
02-11-2021,51,8,4,19
03-11-2021,59,10,8,13
04-11-2021,58,9,6,9
05-11-2021,59,10,6,18
06-11-2021,64,10,6,15
07-11-2021,68,10,6,16
